jlpt,kanji,kana
2,案,あん
2,安易,あんい
2,案外,あんがい
2,暗記,あんき
2,安定,あんてい
2,,アンテナ
2,,あんな
2,,あんなに
2,,あんまり
2,胃,い
2,,いい
2,,よい
2,,いいえ
2,,いえ
2,言い出す,いいだす
2,言い付ける,いいつける
2,委員,いいん
2,意外,いがい
2,,いかが
2,行き,いき
2,息,いき
2,意義,いぎ
2,生き生き,いきいき
2,勢い,いきおい
2,,いきなり
2,生き物,いきもの
2,育児,いくじ
2,幾つ,いくつ
2,幾分,いくぶん
2,幾ら,いくら
2,,いけない
2,生け花,いけばな
2,以後,いご
2,以降,いこう
2,,イコール
2,勇ましい,いさましい
2,医師,いし
2,意思,いし
2,意志,いし
2,維持,いじ
2,意識,いしき
2,,いじめる
2,異常,いじょう
2,衣食住,いしょくじゅう
2,意地悪,いじわる
2,椅子,いす
2,泉,いずみ
2,,いずれ
2,以前,いぜん
2,板,いた
2,偉大,いだい
2,抱く,いだく
2,,いたずら
2,,いただきます
2,頂く,いただく
2,痛み,いたみ
2,至る,いたる
2,,いち
2,位置,いち
2,,いちいち
2,一応,いちおう
2,一時,いちじ
2,一段と,いちだんと
2,一度に,いちどに
2,市場,いちば
2,,いちばん
2,一流,いちりゅう
2,,いつ
2,何時か,いつか
2,一家,いっか
2,一昨日,いっさくじつ
2,一昨年,いっさくねん
2,一種,いっしゅ
2,一瞬,いっしゅん
2,一生,いっしょう
2,一斉,いっせい
2,一層,いっそう
